Property Address,City,State,Zip,For Sale Price,Land Area (AC),Latitude,Longitude,Zoning,County Name,Proposed Land Use,Owner Name,Sale Company Name,Sale Company Contact,Sale Company Phone,Sale Company Fax,Last Sale Date,Last Sale Price,In SFHA,Fema Flood Zone,FEMA Map Date,Floodplain Area,% Pop Grwth 2020-2024(5m),% Pop Grwth 2024-2029(5m),% Pop Grwth 2020-2024(10m),% Pop Grwth 2024-2029(10m),2000 Population(3m),2020 Population(3m),2024 Population(3m),2029 Population(3m),2000 Population(5m),2020 Population(5m),2024 Population(5m),2029 Population(5m),2000 Population(10m),2020 Population(10m),2024 Population(10m),2029 Population(10m),2020 Med HH Inc(3m),2024 Avg HH Inc(3m),2024 Med HH Inc(3m),2029 Avg HH Inc(3m),2029 Med HH Inc(3m),2020 Med HH Inc(5m),2024 Avg HH Inc(5m),2024 Med HH Inc(5m),2029 Avg HH Inc(5m),2029 Med HH Inc(5m),2020 Med HH Inc(10m),2024 Avg HH Inc(10m),2024 Med HH Inc(10m),2029 Avg HH Inc(10m),2029 Med HH Inc(10m),"2024 Home Value $1,000,000+(3m)","2024 Home Value $100,000-200,000(3m)","2024 Home Value $200,000-300,000(3m)","2024 Home Value $300,000-400,000(3m)","2024 Home Value $400,000-500,000(3m)","2024 Home Value $500,000-1,000,000(3m)","2024 Home Value <100,000(3m)","2029 Home Value $1,000,000+(3m)","2029 Home Value $100,000-200,000(3m)","2029 Home Value $200,000-300,000(3m)","2029 Home Value $300,000-400,000(3m)","2029 Home Value $400,000-500,000(3m)","2029 Home Value $500,000-1,000,000(3m)","2029 Home Value <100,000(3m)",2024 Median Home Value(3m),2029 Median HH Value(3m),"2024 Home Value $1,000,000+(5m)","2024 Home Value $100,000-200,000(5m)","2024 Home Value $200,000-300,000(5m)","2024 Home Value $300,000-400,000(5m)","2024 Home Value $400,000-500,000(5m)","2024 Home Value $500,000-1,000,000(5m)","2024 Home Value <100,000(5m)","2029 Home Value $1,000,000+(5m)","2029 Home Value $100,000-200,000(5m)","2029 Home Value $200,000-300,000(5m)","2029 Home Value $300,000-400,000(5m)","2029 Home Value $400,000-500,000(5m)","2029 Home Value $500,000-1,000,000(5m)","2029 Home Value <100,000(5m)",2024 Median Home Value(5m),2029 Median HH Value(5m),"2024 Home Value $1,000,000+(10m)","2024 Home Value $100,000-200,000(10m)","2024 Home Value $200,000-300,000(10m)","2024 Home Value $300,000-400,000(10m)","2024 Home Value $400,000-500,000(10m)","2024 Home Value $500,000-1,000,000(10m)","2024 Home Value <100,000(10m)","2029 Home Value $1,000,000+(10m)","2029 Home Value $100,000-200,000(10m)","2029 Home Value $200,000-300,000(10m)","2029 Home Value $300,000-400,000(10m)","2029 Home Value $400,000-500,000(10m)","2029 Home Value $500,000-1,000,000(10m)","2029 Home Value <100,000(10m)",2024 Median Home Value(10m),2029 Median HH Value(10m),% HU Grwth 2020-2024(3m),% HU Grwth 2020-2024(5m),% HU Grwth 2020-2024(10m),date,Market
County Route 59,Phoenix,NY,13135,2400000.0,305.0,43.2507867,-76.3335493,I,Oswego,Industrial,,"Operation Oswego County, Inc.",Austin Wheelock,3155321277.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-2.04,-1.26,-2.94,-1.91,6360,5812,5680,5635,17225,17482,17125,16909,110734,117492,114040,111859,69765,79363,66767,76612,64913,78696,92079,72062,88368,69062,72876,93586,71939,92382,70429,7,696,283,140,1,145,407,7,689,279,139,1,145,405,162140,162046,85,2075,1259,662,77,290,920,86,2045,1236,649,75,288,916,185011,184669,262,14516,7520,2861,704,1137,6125,259,14189,7324,2789,686,1120,6038,171903,171636,-2.37,-2.21,-3.18,2025-02-24,I85 Corridor
6608 Crosby Rd,Alabama,NY,14013,,310.0,43.0927929,-78.4067356,TD,Genesee,"Commercial, Distribution, Hold for Development, Industrial, Industrial Live/Work Unit, Industrial Park, Master Planned Community, Medical, Mixed Use, Office, Office Park, Open Space, R&D, Retail Warehouse, Warehouse",,Genesee County Economic Development Center,Chris Suozzi,5853434866.0,5853430848.0,,,No,,,,2.84,-0.74,-1.61,-1.5,1282,946,995,992,3400,2751,2829,2808,34661,32730,32202,31719,63088,73525,66021,72750,66400,64149,77923,66609,77869,66947,61674,77846,62408,77784,62060,4,155,45,7,2,5,117,4,155,45,7,2,5,117,132580,132580,6,405,145,28,59,24,289,6,402,144,28,58,24,286,146666,146766,88,3464,1770,820,483,316,3065,86,3407,1749,805,484,317,3011,155946,156310,5.31,2.62,-1.7,2025-02-24,I85 Corridor
2200 Hencle Blvd,Baldwinsville,NY,13027,8000000.0,123.5,43.184868,-76.001201,Industrial,Onondaga,Warehouse,,Cushman & Wakefield | Pyramid Brokerage Company,Christopher Savage,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.91,-2.34,-3.11,-2.3,13430,16366,15989,15618,32332,38889,37757,36872,115041,121145,117375,114680,84214,102679,79195,100989,76931,78489,104478,79463,103845,78314,74045,94997,73086,94300,71962,0,1824,1506,562,220,66,299,0,1774,1461,546,214,64,292,207669,207495,37,4133,3066,1491,437,403,1251,37,4017,2980,1447,426,397,1218,200815,200872,283,15771,8382,3044,754,1070,4912,281,15344,8120,2960,737,1051,4815,177331,177156,-1.99,-3.16,-3.27,2025-02-24,I85 Corridor
1 Horseshoe Blvd,Avon,NY,14414,,82.0,42.9181542,-77.7503514,6,Livingston,Industrial,,Benchmark Realty Advisors,Adam Rooney,5854899512.0,,08/11/2023 00:00:00,,No,,,,-3.8,-1.48,-1.79,-1.26,5623,5285,5100,5029,8654,8202,7890,7773,49460,56056,55052,54361,69681,91992,72072,92408,72697,67172,91368,68605,91642,69007,76001,94850,76586,94601,75857,17,809,371,42,9,17,207,17,796,365,42,9,17,204,165389,165452,23,1212,614,139,14,22,420,23,1191,604,138,14,22,414,166171,166246,155,7369,4617,1418,466,438,1570,155,7259,4544,1400,463,435,1546,187480,187546,-3.84,-4.07,-1.76,2025-02-24,I85 Corridor
4480 Lafayette Rd,Jamesville,NY,13078-9837,3500000.0,84.24,42.986134,-76.125303,C,Onondaga,"Agribusiness, MultiFamily, Single Family Development",,Hospitality Associates,John Christopher,3155691227.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-0.01,-1.79,-2.11,-2.32,40127,41285,41522,40825,126513,128137,128118,125821,307812,314791,308164,301022,49649,73387,49638,73929,49342,46607,71331,46789,71681,46706,57688,80894,58690,81273,58634,121,2041,960,906,663,441,2969,120,1988,934,882,648,431,2915,152988,152515,220,6649,4068,1933,1098,936,6044,217,6478,3959,1876,1076,913,5920,166626,166370,531,28386,14219,5231,2334,2640,15978,523,27576,13816,5087,2279,2570,15570,165812,165783,1.32,1.86,-1.55,2025-02-24,I85 Corridor
135 W Main St,Honeoye Falls,NY,14472,,276.0,42.953605,-77.6017551,C,Monroe,Commercial,,LLD Enterprises,David Dworkin,5852443575.0,5854733555.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-2.83,-1.49,-1.22,-1.17,6697,7038,7010,6934,13949,14630,14216,14004,98434,113049,111669,110362,89876,111158,92214,110169,92512,89183,112040,91697,111445,92072,87267,115039,90106,115292,90061,0,686,640,327,242,98,118,0,680,630,322,238,96,117,239296,238809,4,1548,1331,714,472,217,290,4,1529,1305,698,461,213,285,233809,233218,192,11924,8474,4479,2644,2087,1684,191,11765,8343,4412,2614,2064,1654,225183,225201,0.1,-2.64,-1.39,2025-02-24,I85 Corridor
E Molloy Rd,Syracuse,NY,13211,6800000.0,84.636409,43.098297,-76.1005475,HI-TECH,Onondaga,"Commercial, Hospitality, Medical, Office Park, R&D",,JC Kelsen Real Estate Opportunities,Jeff Kelsen,3154473430.0,,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,11/04/2016,100-year Floodplain,-2.86,-2.45,-2.23,-2.34,54684,53885,51400,49900,169292,174885,169890,165721,379703,391582,382867,373900,57017,71281,57851,71725,57819,53199,70343,54305,70825,54346,61686,83572,62570,83737,62256,14,6256,1114,622,165,271,5257,14,6056,1092,604,160,260,5096,125455,125512,149,16842,5392,1340,386,928,9253,147,16314,5245,1301,376,900,8993,146859,146861,741,41216,19438,6425,2483,3037,18090,729,40031,18891,6246,2432,2959,17656,167024,166987,-4.84,-1.76,-1.8,2025-02-24,I85 Corridor
976 NY-13,Williamstown,NY,13493,4315000.0,607.0,43.4430933,-75.9219228,,Oswego,Agribusiness,,"Brixwood, LLC",Jason Beck,5852042182.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/18/2013,100-year and 500-year Floodplain,7.43,2.03,2.02,0.33,678,961,1045,1070,1777,2114,2271,2317,10763,10321,10529,10564,60523,63983,55588,63067,55142,59721,64457,56644,63572,56168,59385,69193,57499,68340,57115,0,87,42,22,0,20,151,0,89,43,22,0,21,154,111494,111798,0,203,86,36,0,41,345,0,208,89,37,0,42,352,105172,105769,5,1302,396,116,6,71,1501,5,1307,399,116,6,72,1507,115169,115226,8.55,7.31,2.12,2025-02-24,I85 Corridor
8053 Oak Orchard Rd.,Batavia,NY,14020-1015,,100.0,43.0222267,-78.1872935,,Genesee,"Commercial, Industrial",,Mancuso Commercial Realty,Anthony Mancuso,5853435257.0,5853435550.0,,,No,,,,-2.81,-1.92,-2.38,-1.78,19004,18890,18173,17757,25118,24655,23963,23502,40740,39877,38927,38235,54049,70555,54898,71183,55155,56405,74180,58006,74935,58379,60995,77698,62153,78115,62226,25,1671,659,99,54,61,1603,23,1643,660,96,53,61,1553,128905,129914,28,2527,1022,194,95,70,2118,26,2494,1023,189,93,70,2062,135971,136748,81,4790,1817,310,186,136,3480,77,4724,1806,303,183,135,3399,140083,140527,-3.71,-2.78,-2.36,2025-02-24,I85 Corridor
345 Orton Rd,Pulaski,NY,13142-2592,1299000.0,467.0,43.600724,-76.094688,No zoning. Can apply.,Oswego,"Agribusiness, Agricultural, Apartment Units, Apartment Units - Senior, Auto Dealership, Commercial, Community Center, Contractor Storage Yard, Day Care Center, Fast Food, Food Processing, Garden Center, Golf Course/Driving Range, Health Care, Health Club, Hold for Development, Hold for Investment, Horse Stables, Industrial Live/Work Unit, Loft/Creative Space, Lumberyard, Manuftrd Hms/Mobl Hm Prk, Mixed Use, MultiFamily, Rehabilitation Center, Self-Storage, Single Family Development, Single Family Residence, Timberland, Trailer/Camper Park, Veterinarian/Kennel",Shapiroland Corp,Moet Properties LTD,Meira Shapiro,9177349097.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/18/2013,100-year and 500-year Floodplain,0.04,0.0,2.65,0.34,3511,3322,3205,3183,7725,7453,7456,7456,16098,15284,15689,15742,57266,74168,51588,72467,50523,60027,75611,58676,74805,58382,62945,78204,64305,77854,64270,3,402,171,4,5,42,230,3,400,170,4,5,42,228,149378,149500,5,1022,418,76,10,71,585,5,1026,420,80,10,71,583,149755,150146,26,2151,840,231,69,131,1501,26,2169,849,240,68,132,1498,145258,145781,-4.04,0.49,3.29,2025-02-24,I85 Corridor
